gecko_id,n_venues,n_clean,n_quoting,depth_2pct_usd,adv_usd_quoting,adv_usd_clean,adv_usd_all,spread_pct,flagged_vol_share
stargate-finance,59.0,46.0,45.0,442300.725347328,9121288.49,9121443.02,9133835.946644,0.1856040285666395,0.001356815112116716
ston-2,7.0,7.0,7.0,22523.62252158945,10891.539999999999,10891.539999999999,10891.539999999999,0.6060063391026429,0.0
stride,2.0,2.0,2.0,277.6657229841132,247.14,247.14,247.14,0.6625180085781339,0.0
suilend,5.0,4.0,4.0,522.1363248556657,657.5600000000001,657.5600000000001,662.3900000000001,0.9219450560709287,0.007291776747837431
sun-token,57.0,45.0,42.0,4678085.6139840325,13311549.620000001,13381856.270000001,13479751.29361,0.16610886615050754,0.007262376098615686
swell-network,25.0,21.0,20.0,74375.59581776416,495605.50999999995,495615.89999999997,498302.964838,0.9865839311085546,0.005392431969321376
synapse-2,34.0,25.0,24.0,2383475.832530214,3358585.55,3358651.73,3662781.66,0.16615660057428341,0.08303250322597722
synfutures,21.0,17.0,17.0,398312.43833568424,1185027.5499999998,1185027.5499999998,1815422.1199999999,0.18396546415663503,0.34724407235932553
the-open-network,100.0,91.0,90.0,7885797.57730341,38926348.160000004,38929328.6,38981612.57000001,0.11747785425226207,0.0013412469765359258
thena,42.0,38.0,37.0,352957.9960456517,3537315.86,3537385.1799999997,3572184.6199999996,0.23897725942858547,0.009741780927325028
thorchain,78.0,69.0,68.0,2943609.2336121346,56317209.900000006,56317315.21000001,80425162.69000001,0.5238742052675123,0.299755035285711
tokenlon,5.0,5.0,5.0,60994.888082718084,30840.4,30840.4,30840.4,4.95354507090148,0.0
trust-wallet-token,66.0,56.0,55.0,38476350.85536099,12644346.68,12644536.84,13822838.8,0.16110797124784626,0.08524312386541044
unicrypt-2,2.0,0.0,0.0,0.0,0.0,0.0,272.77000000000004,,1.0
usdx-money-usdx,2.0,0.0,0.0,0.0,0.0,0.0,8.15,,1.0
velodrome-finance,48.0,37.0,36.0,396282.4050677179,5474199.2,5474277.0600000005,6569828.09,0.3146514586800823,0.16675490058370757
vertex-protocol,,,,,,,,,
vvs-finance,29.0,23.0,23.0,664504.6383999116,126236.21999999999,126236.21999999999,127181.60999999999,0.6323210018287936,0.007433386006042819
wigoswap,,,,,,,,,
yolo-games,1.0,0.0,0.0,0.0,0.0,0.0,27.48,,1.0
