pool,metric,n_follow,rebalance,screen,n_elig,smart_sharpe,anti_sharpe,all_sharpe,smart_pnl,anti_pnl,all_pnl,spread_anti,spread_all
30d,roi,10,14,off,50,0.3601,0.2942,0.326,0.4596,0.3787,0.4172,0.0659,0.0341
30d,roi,10,30,on,48,0.3246,0.3246,0.3246,0.4125,0.4125,0.4125,0.0,0.0
30d,roi,10,30,off,50,0.3246,0.3246,0.3246,0.4125,0.4125,0.4125,0.0,0.0
30d,sharpe,3,7,on,48,0.2809,0.5005,0.3608,0.321,0.8462,0.4685,-0.2196,-0.0799
30d,sharpe,3,7,off,50,0.2809,0.5005,0.3608,0.321,0.8462,0.4685,-0.2196,-0.0799
30d,sharpe,3,14,on,48,0.2586,0.3628,0.326,0.2914,0.5272,0.4172,-0.1042,-0.0674
30d,sharpe,3,14,off,50,0.2586,0.3628,0.326,0.2914,0.5272,0.4172,-0.1042,-0.0674
30d,sharpe,3,30,on,48,0.2116,0.3948,0.3246,0.2377,0.5675,0.4125,-0.1832,-0.113
30d,sharpe,3,30,off,50,0.2116,0.3948,0.3246,0.2377,0.5675,0.4125,-0.1832,-0.113
30d,sharpe,5,7,on,48,0.3858,0.4325,0.3608,0.4727,0.631,0.4685,-0.0467,0.025
30d,sharpe,5,7,off,50,0.3858,0.4325,0.3608,0.4727,0.631,0.4685,-0.0467,0.025
30d,sharpe,5,14,on,48,0.315,0.2788,0.326,0.3816,0.3583,0.4172,0.0362,-0.011
30d,sharpe,5,14,off,50,0.315,0.2788,0.326,0.3816,0.3583,0.4172,0.0362,-0.011
30d,sharpe,5,30,on,48,0.2816,0.3186,0.3246,0.3395,0.4033,0.4125,-0.037,-0.043
30d,sharpe,5,30,off,50,0.2816,0.3186,0.3246,0.3395,0.4033,0.4125,-0.037,-0.043
30d,sharpe,10,7,on,48,0.3202,0.4061,0.3608,0.4047,0.5612,0.4685,-0.0859,-0.0406
30d,sharpe,10,7,off,50,0.3202,0.4061,0.3608,0.4047,0.5612,0.4685,-0.0859,-0.0406
30d,sharpe,10,14,on,48,0.3453,0.2968,0.326,0.4409,0.3819,0.4172,0.0485,0.0193
30d,sharpe,10,14,off,50,0.3453,0.2968,0.326,0.4409,0.3819,0.4172,0.0485,0.0193
30d,sharpe,10,30,on,48,0.3246,0.3246,0.3246,0.4125,0.4125,0.4125,0.0,0.0
30d,sharpe,10,30,off,50,0.3246,0.3246,0.3246,0.4125,0.4125,0.4125,0.0,0.0
all,pnl_total,3,7,on,42,-0.1673,0.5764,0.4784,-0.0304,0.6691,0.3715,-0.7437,-0.6457
all,pnl_total,3,7,off,50,-0.1673,0.5764,0.4801,-0.0304,0.6691,0.3726,-0.7437,-0.6474
all,pnl_total,3,14,on,42,0.0423,0.257,0.2198,0.0112,0.1945,0.1464,-0.2147,-0.1775
all,pnl_total,3,14,off,50,0.0423,0.257,0.2216,0.0112,0.1945,0.1475,-0.2147,-0.1793
all,pnl_total,3,30,on,42,0.0,0.3139,0.3139,0.0,0.14,0.14,-0.3139,-0.3139
all,pnl_total,3,30,off,50,0.0,0.3139,0.3139,0.0,0.14,0.14,-0.3139,-0.3139
all,pnl_total,5,7,on,42,-0.0489,0.58,0.4784,-0.0107,0.6606,0.3715,-0.6289,-0.5273
all,pnl_total,5,7,off,50,-0.0489,0.58,0.4801,-0.0107,0.6606,0.3726,-0.6289,-0.529
all,pnl_total,5,14,on,42,0.2405,0.2164,0.2198,0.1102,0.1441,0.1464,0.0241,0.0207
all,pnl_total,5,14,off,50,0.2405,0.2164,0.2216,0.1102,0.1441,0.1475,0.0241,0.0189
all,pnl_total,5,30,on,42,0.0,0.3139,0.3139,0.0,0.14,0.14,-0.3139,-0.3139
all,pnl_total,5,30,off,50,0.0,0.3139,0.3139,0.0,0.14,0.14,-0.3139,-0.3139
all,pnl_total,10,7,on,42,0.2224,0.5099,0.4784,0.0754,0.4141,0.3715,-0.2875,-0.256
all,pnl_total,10,7,off,50,0.2224,0.5121,0.4801,0.0754,0.4156,0.3726,-0.2897,-0.2577
all,pnl_total,10,14,on,42,0.2404,0.2198,0.2198,0.1102,0.1464,0.1464,0.0206,0.0206
all,pnl_total,10,14,off,50,0.2404,0.2222,0.2216,0.1102,0.1479,0.1475,0.0182,0.0188
all,pnl_total,10,30,on,42,0.0,0.3139,0.3139,0.0,0.14,0.14,-0.3139,-0.3139
all,pnl_total,10,30,off,50,0.0,0.3139,0.3139,0.0,0.14,0.14,-0.3139,-0.3139
all,pnl_30d,3,7,on,42,-0.2703,0.4209,0.4784,-0.0494,0.4581,0.3715,-0.6912,-0.7487
all,pnl_30d,3,7,off,50,-0.2703,0.4209,0.4801,-0.0494,0.4581,0.3726,-0.6912,-0.7504
all,pnl_30d,3,14,on,42,0.0084,-0.0264,0.2198,0.0022,-0.0165,0.1464,0.0348,-0.2114
all,pnl_30d,3,14,off,50,0.0084,-0.0264,0.2216,0.0022,-0.0165,0.1475,0.0348,-0.2132
all,pnl_30d,3,30,on,42,0.0,-0.5652,0.3139,0.0,-0.075,0.14,0.5652,-0.3139
all,pnl_30d,3,30,off,50,0.0,-0.5652,0.3139,0.0,-0.075,0.14,0.5652,-0.3139
all,pnl_30d,5,7,on,42,-0.1574,0.588,0.4784,-0.0347,0.6696,0.3715,-0.7454,-0.6358
all,pnl_30d,5,7,off,50,-0.1574,0.588,0.4801,-0.0347,0.6696,0.3726,-0.7454,-0.6375
all,pnl_30d,5,14,on,42,0.2098,0.2299,0.2198,0.0962,0.1531,0.1464,-0.0201,-0.01
all,pnl_30d,5,14,off,50,0.2098,0.2299,0.2216,0.0962,0.1531,0.1475,-0.0201,-0.0118
all,pnl_30d,5,30,on,42,0.0,0.3139,0.3139,0.0,0.14,0.14,-0.3139,-0.3139
all,pnl_30d,5,30,off,50,0.0,0.3139,0.3139,0.0,0.14,0.14,-0.3139,-0.3139
all,pnl_30d,10,7,on,42,0.1513,0.5815,0.4784,0.0514,0.6548,0.3715,-0.4302,-0.3271
all,pnl_30d,10,7,off,50,0.1045,0.5815,0.4801,0.0356,0.6548,0.3726,-0.477,-0.3756
all,pnl_30d,10,14,on,42,0.2097,0.2344,0.2198,0.0962,0.1561,0.1464,-0.0247,-0.0101
all,pnl_30d,10,14,off,50,0.1749,0.2344,0.2216,0.0804,0.1561,0.1475,-0.0595,-0.0467
all,pnl_30d,10,30,on,42,0.0,0.3139,0.3139,0.0,0.14,0.14,-0.3139,-0.3139
all,pnl_30d,10,30,off,50,0.0,0.3139,0.3139,0.0,0.14,0.14,-0.3139,-0.3139
all,pnl_90d,3,7,on,42,-0.2703,0.4209,0.4784,-0.0494,0.4581,0.3715,-0.6912,-0.7487
all,pnl_90d,3,7,off,50,-0.2703,0.4209,0.4801,-0.0494,0.4581,0.3726,-0.6912,-0.7504
all,pnl_90d,3,14,on,42,0.0084,-0.0264,0.2198,0.0022,-0.0165,0.1464,0.0348,-0.2114
all,pnl_90d,3,14,off,50,0.0084,-0.0264,0.2216,0.0022,-0.0165,0.1475,0.0348,-0.2132
all,pnl_90d,3,30,on,42,0.0,-0.5652,0.3139,0.0,-0.075,0.14,0.5652,-0.3139
all,pnl_90d,3,30,off,50,0.0,-0.5652,0.3139,0.0,-0.075,0.14,0.5652,-0.3139
all,pnl_90d,5,7,on,42,-0.1574,0.588,0.4784,-0.0347,0.6696,0.3715,-0.7454,-0.6358
all,pnl_90d,5,7,off,50,-0.1574,0.588,0.4801,-0.0347,0.6696,0.3726,-0.7454,-0.6375
all,pnl_90d,5,14,on,42,0.2098,0.2299,0.2198,0.0962,0.1531,0.1464,-0.0201,-0.01
