,equity
2025-11-09 13:00:00.000,1364.8308060090487
2025-11-11 00:00:00.000,1364.8308060090485
2025-11-11 00:00:00.000,1364.8308060090485
2025-11-11 01:15:00.000,1381.485519634745
2025-11-15 00:00:00.000,1368.1892327066441
2025-11-15 00:00:00.000,1423.0790325893174
2025-11-15 00:00:00.000,1445.6120460588168
2025-11-16 00:00:00.000,1445.6120460588168
2025-11-17 00:00:00.000,1445.6120460588168
2025-11-18 00:00:00.000,1445.6120460588168
2025-11-18 01:15:00.000,1461.7111396975154
2025-11-18 01:15:00.000,1448.062831637425
2025-11-20 00:00:00.000,1448.0628316374248
2025-11-21 00:00:00.000,1448.0628316374248
2025-11-21 00:00:00.000,1470.8100117375757
2025-11-21 00:00:00.000,1470.8100117375755
2025-11-21 00:00:00.000,1470.8100117375755
2025-11-24 00:00:00.000,1470.8100117375755
2025-11-24 00:00:00.000,1470.8100117375752
2025-11-25 00:00:00.000,1470.8100117375752
2025-11-25 00:00:00.000,1470.8100117375752
2025-11-25 00:00:00.000,1470.8100117375752
2025-11-25 00:00:00.000,1470.8100117375752
2025-11-25 00:00:00.000,1470.810011737575
2025-11-26 00:00:00.000,1470.810011737575
2025-11-27 00:00:00.000,1470.810011737575
2025-11-27 00:00:00.000,1470.8100117375748
2025-11-27 18:00:00.000,1489.5294118869622
2025-11-27 21:30:00.000,1512.0570082692718
2025-11-28 00:00:00.000,1512.0570082692718
2025-11-28 01:20:00.000,1550.8329085787173
2025-11-29 00:00:00.000,1550.8329085787173
2025-11-29 00:00:00.000,1550.8329085787173
2025-11-30 00:00:00.000,1536.1248084613414
2025-11-30 00:00:00.000,1521.6686880007533
2025-11-30 00:00:00.000,1521.6686880007533
2025-11-30 00:00:00.000,1521.6686880007533
2025-11-30 00:00:00.000,1521.6686880007533
2025-11-30 00:00:00.000,1521.6686880007535
2025-11-30 18:00:00.000,1507.2125675401653
2025-12-01 00:00:00.000,1507.2125675401653
2025-12-02 01:15:00.000,1492.5044674227895
2025-12-04 00:00:00.000,1492.5044674227897
2025-12-04 00:30:00.000,1476.9961383370023
2025-12-05 00:00:00.000,1476.9961383370025
2025-12-05 01:15:00.000,1462.2880382196267
2025-12-07 12:00:00.000,1447.0713513396192
2025-12-07 12:00:00.000,1432.3632512222434
2025-12-07 12:00:00.000,1417.6551511048676
2025-12-08 20:15:00.000,1437.7981532507752
2025-12-09 00:00:00.000,1437.7981532507754
2025-12-10 00:00:00.000,1422.5814663707679
2025-12-10 00:00:00.000,1407.3647794907602
2025-12-10 00:00:00.000,1407.3647794907602
2025-12-10 00:00:00.000,1407.3647794907602
2025-12-11 00:00:00.000,1393.2911316958525
2025-12-11 03:00:00.000,1413.6877450347922
2025-12-12 00:00:00.000,1413.6877450347924
2025-12-13 00:00:00.000,1413.6877450347922
2025-12-14 00:00:00.000,1413.6877450347922
2025-12-14 00:00:00.000,1413.6877450347922
2025-12-15 00:00:00.000,1413.6877450347922
2025-12-18 20:15:00.000,1433.5430528653983
2025-12-19 00:00:00.000,1419.4061754150503
2025-12-19 00:00:00.000,1405.2692979647022
2025-12-19 00:00:00.000,1391.1956501697946
2025-12-20 00:00:00.000,1391.1956501697946
2025-12-20 00:00:00.000,1391.1956501697946
2025-12-20 00:00:00.000,1391.1956501697946
2025-12-20 00:00:00.000,1391.1956501697946
2025-12-20 00:00:00.000,1391.1956501697946
2025-12-20 00:00:00.000,1391.1956501697946
2025-12-20 00:00:00.000,1391.1956501697944
2025-12-20 00:00:00.000,1391.1956501697944
2025-12-21 00:00:00.000,1391.1956501697944
2025-12-21 00:00:00.000,1391.1956501697944
2025-12-21 00:00:00.000,1391.1956501697946
2025-12-21 13:00:00.000,1405.618121103988
2025-12-22 00:00:00.000,1405.618121103988
2025-12-22 00:00:00.000,1405.618121103988
2025-12-22 00:00:00.000,1405.618121103988
2025-12-22 00:00:00.000,1405.618121103988
2025-12-23 00:00:00.000,1405.618121103988
2025-12-24 00:00:00.000,1405.618121103988
2025-12-24 00:00:00.000,1405.618121103988
2025-12-24 00:00:00.000,1405.618121103988
2025-12-25 00:00:00.000,1405.618121103988
2025-12-25 19:30:00.000,1438.079352941283
2025-12-26 00:00:00.000,1424.0231717302431
2025-12-26 00:00:00.000,1409.9669905192034
2025-12-26 00:00:00.000,1409.9669905192034
2025-12-31 00:00:00.000,1513.0264887242474
2025-12-31 00:00:00.000,1498.3183886068714
2025-12-31 00:00:00.000,1484.2622073958316
2025-12-31 00:00:00.000,1544.3500195201868
2025-12-31 00:00:00.000,1529.641919402811
2025-12-31 00:00:00.000,1515.7299629011131
2025-12-31 00:00:00.000,1501.818006399415
2025-12-31 00:00:00.000,1524.8227309815704
2025-12-31 00:00:00.000,1510.1146308641946
2025-12-31 12:00:00.000,1603.5885645556696
2025-12-31 12:00:00.000,1632.4405964764965
2025-12-31 12:00:00.000,1661.2926283973234
2025-12-31 12:00:00.000,1685.8503022593823
2025-12-31 12:00:00.000,1670.7781765839804
2025-12-31 12:00:00.000,1656.8662200822826
2026-01-01 05:00:00.000,1642.8100388712428
2026-01-01 05:00:00.000,1628.7538576602028
2026-01-01 05:00:00.000,1616.4438519368618
2026-01-01 05:00:00.000,1604.1338462135209
2026-01-01 05:00:00.000,1589.0132761308282
2026-01-01 05:00:00.000,1574.9570949197882
2026-01-01 05:00:00.000,1591.7936196670778
2026-01-04 05:00:00.000,1577.7374384560378
2026-01-06 00:00:00.000,1577.737438456038
2026-01-07 00:00:00.000,1577.737438456038
2026-01-07 00:00:00.000,1577.737438456038
2026-01-08 00:00:00.000,1577.7374384560383
2026-01-08 00:00:00.000,1577.7374384560385
2026-01-09 00:00:00.000,1577.7374384560385
2026-01-11 00:00:00.000,1577.7374384560385
2026-01-11 00:00:00.000,1577.7374384560387
2026-01-11 01:00:00.000,1593.514812840599
2026-01-11 18:00:00.000,1577.7374384560387
2026-01-12 00:00:00.000,1577.737438456039
2026-01-12 00:00:00.000,1577.737438456039
2026-01-12 00:00:00.000,1577.737438456039
2026-01-14 00:00:00.000,1577.7374384560392
2026-01-14 00:00:00.000,1577.7374384560394
2026-01-14 00:00:00.000,1577.7374384560394
2026-01-14 00:00:00.000,1577.7374384560394
2026-01-14 00:00:00.000,1577.7374384560396
2026-01-15 00:00:00.000,1561.9600640714793
2026-01-16 00:00:00.000,1561.9600640714793
2026-01-16 00:00:00.000,1561.9600640714793
2026-01-16 00:00:00.000,1561.9600640714793
2026-01-16 00:00:00.000,1561.960064071479
2026-01-16 00:00:00.000,1561.9600640714793
2026-01-17 00:00:00.000,1561.9600640714793
2026-01-17 00:00:00.000,1561.9600640714793
2026-01-17 15:00:00.000,1581.6374635848074
2026-01-17 21:30:00.000,1565.860089200247
2026-01-18 01:00:00.000,1550.0827148156868
2026-01-18 16:15:00.000,1570.9969087673132
2026-01-18 16:30:00.000,1593.2373039841032
2026-01-18 20:00:00.000,1620.6856128449135
2026-01-18 20:00:00.000,1604.908238460353
2026-01-18 23:30:00.000,1589.1308640757927
2026-01-19 00:00:00.000,1589.1308640757927
2026-01-19 00:00:00.000,1589.130864075793
2026-01-20 00:00:00.000,1589.130864075793
2026-01-20 00:00:00.000,1589.130864075793
2026-01-20 00:30:00.000,1573.3534896912324
2026-01-20 20:00:00.000,1592.6369472723618
2026-01-21 00:00:00.000,1592.6369472723618
2026-01-21 20:00:00.000,1576.8595728878015
2026-01-21 20:00:00.000,1561.0821985032412
2026-01-22 00:00:00.000,1561.0821985032412
2026-01-22 00:00:00.000,1561.0821985032412
2026-01-22 00:00:00.000,1561.0821985032414
2026-01-23 00:00:00.000,1561.0821985032417
2026-01-23 00:00:00.000,1561.0821985032417
2026-01-25 00:00:00.000,1561.0821985032417
2026-01-25 00:00:00.000,1561.082198503242
2026-01-25 20:00:00.000,1545.190889862484
2026-01-25 23:30:00.000,1529.299581221726
2026-01-28 00:00:00.000,1529.2995812217262
2026-01-28 20:00:00.000,1563.0686120833366
2026-01-30 00:00:00.000,1563.0686120833366
2026-01-30 00:00:00.000,1563.0686120833366
2026-01-30 00:00:00.000,1563.0686120833366
2026-01-30 00:00:00.000,1563.0686120833366
2026-01-30 00:00:00.000,1563.0686120833366
2026-01-31 00:00:00.000,1547.4577900983043
2026-01-31 00:00:00.000,1531.846968113272
2026-01-31 00:00:00.000,1516.2361461282394
2026-01-31 00:00:00.000,1500.9431503160222
2026-01-31 00:00:00.000,1485.3323283309896
2026-01-31 00:00:00.000,1469.712727690275
2026-01-31 00:00:00.000,1454.1019057052424
2026-01-31 00:00:00.000,1438.3245313206821
2026-01-31 12:00:00.000,1521.2075308754345
2026-01-31 20:00:00.000,1505.5967088904022
2026-02-01 05:00:00.000,1579.3963646161214
2026-02-01 05:00:00.000,1649.404021601082
2026-02-05 00:00:00.000,1649.404021601082
2026-02-05 00:00:00.000,1649.4040216010821
2026-02-05 00:00:00.000,1649.4040216010821
2026-02-06 00:00:00.000,1649.4040216010824
2026-02-06 00:00:00.000,1649.4040216010824
2026-02-07 00:00:00.000,1649.4040216010826
2026-02-08 00:00:00.000,1669.7059472522799
2026-02-08 00:00:00.000,1669.7059472522799
2026-02-08 00:00:00.000,1669.7059472522799
2026-02-08 12:00:00.000,1654.086346611565
2026-02-08 12:00:00.000,1638.4667459708503
2026-02-08 12:00:00.000,1622.836059850017
2026-02-08 12:00:00.000,1607.2053737291835
2026-02-08 23:30:00.000,1591.5746876083501
2026-02-08 23:30:00.000,1575.9440014875167
2026-02-11 00:00:00.000,1575.9440014875167
2026-02-11 00:00:00.000,1575.9440014875167
2026-02-12 00:00:00.000,1575.944001487517
2026-02-12 00:00:00.000,1575.9440014875167
2026-02-12 00:00:00.000,1575.9440014875167
2026-02-12 03:00:00.000,1559.4499612715058
2026-02-12 20:00:00.000,1588.4982702168536
2026-02-13 00:00:00.000,1572.0042300008429
2026-02-14 00:00:00.000,1591.7608276222184
2026-02-14 00:00:00.000,1591.7608276222186
2026-02-17 00:00:00.000,1591.7608276222186
2026-02-17 00:00:00.000,1591.7608276222186
2026-02-17 00:00:00.000,1591.7608276222186
2026-02-17 00:00:00.000,1591.7608276222186
2026-02-17 00:00:00.000,1591.7608276222186
2026-02-17 00:00:00.000,1591.7608276222186
2026-02-17 00:00:00.000,1591.7608276222186
2026-02-17 00:00:00.000,1591.7608276222186
2026-02-17 00:00:00.000,1591.7608276222186
2026-02-17 00:00:00.000,1591.7608276222186
2026-02-17 00:00:00.000,1591.7608276222188
2026-02-17 00:00:00.000,1591.7608276222188
2026-02-17 00:00:00.000,1591.7608276222188
2026-02-17 00:00:00.000,1591.760827622219
2026-02-17 20:00:00.000,1610.971422929315
2026-02-17 20:00:00.000,1594.4773827133042
2026-02-18 00:00:00.000,1594.4773827133042
2026-02-18 00:00:00.000,1594.4773827133042
2026-02-18 00:00:00.000,1594.477382713304
2026-02-18 00:00:00.000,1594.477382713304
2026-02-18 00:00:00.000,1594.477382713304
2026-02-19 00:00:00.000,1594.477382713304
2026-02-19 00:00:00.000,1594.477382713304
2026-02-20 00:00:00.000,1594.477382713304
2026-02-20 00:00:00.000,1594.477382713304
2026-02-21 20:00:00.000,1578.717942698429
2026-02-21 20:00:00.000,1562.9585026835537
2026-02-22 00:00:00.000,1562.9585026835537
2026-02-22 00:00:00.000,1562.9585026835537
2026-02-22 16:30:00.000,1547.1990626686784
2026-02-24 00:00:00.000,1565.9168406396607
2026-02-24 17:45:00.000,1549.9992323634383
2026-02-25 00:00:00.000,1549.9992323634383
2026-03-01 05:00:00.000,1534.0544585363054
2026-03-01 05:00:00.000,1518.1096847091721
2026-03-01 05:00:00.000,1502.1649108820393
2026-03-01 16:30:00.000,1486.220137054906
2026-03-03 03:00:00.000,1501.4131988374784
2026-03-03 20:15:00.000,1522.1314859660745
2026-03-09 00:00:00.000,1522.1314859660745
2026-03-18 00:00:00.000,1522.1314859660745
2026-03-18 00:00:00.000,1522.1314859660743
2026-03-18 00:00:00.000,1522.1314859660743
2026-03-18 00:00:00.000,1522.1314859660743
2026-03-18 20:00:00.000,1506.9101711064136
2026-03-20 00:00:00.000,1506.9101711064136
2026-03-21 00:00:00.000,1506.9101711064136
2026-03-22 00:00:00.000,1506.9101711064136
2026-03-22 00:00:00.000,1506.9101711064136
2026-03-22 00:00:00.000,1506.9101711064136
2026-03-23 00:00:00.000,1506.9101711064136
2026-03-23 00:00:00.000,1506.9101711064136
2026-03-23 00:00:00.000,1506.9101711064136
2026-03-24 00:00:00.000,1506.9101711064136
2026-03-24 00:00:00.000,1506.9101711064136
2026-03-26 00:00:00.000,1506.9101711064136
2026-03-26 00:00:00.000,1506.9101711064136
2026-03-26 00:00:00.000,1506.9101711064136
2026-03-26 00:00:00.000,1506.9101711064136
2026-03-26 04:00:00.000,1527.2977793037358
2026-03-27 00:00:00.000,1527.2977793037358
2026-03-28 00:00:00.000,1527.2977793037358
2026-03-28 00:00:00.000,1527.2977793037358
2026-03-28 01:45:00.000,1512.2286775926714
2026-03-29 00:00:00.000,1512.2286775926714
2026-03-29 00:00:00.000,1512.2286775926714
2026-03-30 00:00:00.000,1512.2286775926714
2026-03-31 00:00:00.000,1497.1595758816075
2026-03-31 00:00:00.000,1482.090474170543
2026-03-31 00:00:00.000,1467.0213724594792
2026-03-31 00:00:00.000,1517.900659887263
2026-03-31 00:00:00.000,1502.8315581761988
2026-03-31 00:00:00.000,1487.7624564651346
2026-03-31 00:00:00.000,1472.541141605474
2026-03-31 23:55:00.000,1457.4720398944096
2026-04-01 04:00:00.000,1442.250725034749
2026-04-01 04:00:00.000,1427.1816233236848
2026-04-01 04:00:00.000,1445.5622479412868
2026-04-04 00:00:00.000,1445.5622479412868
2026-04-07 00:00:00.000,1561.9381070429838
2026-04-08 19:00:00.000,1546.6651292499464
2026-04-09 00:00:00.000,1546.6651292499464
2026-04-09 00:00:00.000,1546.6651292499464
2026-04-09 00:00:00.000,1546.6651292499464
2026-04-10 00:00:00.000,1531.5428424740198
2026-04-10 00:00:00.000,1531.5428424740198
2026-04-12 00:00:00.000,1531.5428424740198
2026-04-12 00:00:00.000,1531.5428424740198
2026-04-12 00:00:00.000,1531.5428424740198
2026-04-13 00:00:00.000,1576.2879176757117
2026-04-14 19:00:00.000,1561.8322951962987
2026-04-15 00:00:00.000,1561.8322951962987
2026-04-15 00:00:00.000,1593.129660288509
2026-04-15 00:00:00.000,1577.6630089960095
2026-04-15 00:00:00.000,1577.6630089960095
2026-04-15 00:00:00.000,1577.6630089960095
2026-04-15 23:55:00.000,1562.390031202972
2026-04-16 00:00:00.000,1562.390031202972
2026-04-18 00:00:00.000,1562.390031202972
2026-04-18 00:00:00.000,1562.390031202972
2026-04-18 00:00:00.000,1562.390031202972
2026-04-19 00:30:00.000,1593.7078192919973
2026-04-20 00:00:00.000,1593.7078192919973
2026-04-22 00:00:00.000,1578.241167999498
2026-04-22 00:00:00.000,1663.4166245392728
2026-04-22 00:00:00.000,1663.4166245392728
2026-04-22 00:00:00.000,1663.4166245392728
2026-04-22 00:00:00.000,1663.4166245392728
2026-04-22 00:00:00.000,1663.4166245392728
2026-04-22 00:00:00.000,1663.4166245392728
